,Pitcher,
LAD,"Anderson, Brett",
MIL,"Anderson, Chase",
COL,"Anderson, Tyler",
CHC,"Arrieta, Jake",Gopher Balls
LAD,"Avilan, Luis",
LAD,"Baez, Pedro",
CIN,"Bailey, Homer",
ATL,"Banuelos, Manny",
WAS,"Barrett, Aaron",
ARI,"Barrett, Jake",
MIL,"Barrios, Yhonathan",
NYM,"Bastardo, Antonio",
SD,"Baumann, Buddy",
CHC,"Beeler, Dallas",
WAS,"Belisle, Matt",
COL,"Bergman, Christian",
COL,"Bettis, Chad",
ATL,"Biddle, Jesse",
LAD,"Blanton, Joe",
MIL,"Blazek, Michael",
NYM,"Blevins, Jerry",
LAD,"Bolsinger, Mike",
STL,"Bowman, Matt",
ARI,"Bracho, Silvino",
ARI,"Bradley, Archie",Kilroy Sureshots (Minors)
CHC,"Brooks, Aaron",
STL,"Broxton, Jonathan",
SD,"Buchter, Ryan",
SF,"Bumgarner, Madison",
ARI,"Burgos, Enrique",
CHC,"Cahill, Trevor",
SF,"Cain, Matt",
PIT,"Caminero, Arquimedes",
MIA,"Capps, Carter",
SD,"Cashner, Andrew",
SF,"Casilla, Santiago",
COL,"Castro, Miguel",
ARI,"Chafin, Andrew",
COL,"Chatwood, Tyler",
MIA,"Chen, Wei-Yin",
CIN,"Cingrani, Tony",
ARI,"Clippard, Tyler",
PIT,"Cole, Gerrit",Master Batters
LAD,"Coleman, Louis",
ARI,"Collmenter, Josh",
NYM,"Colon, Bartolo",Alien Nation
MIA,"Conley, Adam",
ARI,"Corbin, Patrick",
MIA,"Cosart, Jarred",
CIN,"Cotham, Caleb",
MIL,"Cravy, Tyler",
SF,"Cueto, Johnny",
COL,"De La Rosa, Jorge",Wooden Spooners
ARI,"De La Rosa, Rubby",
NYM,"deGrom, Jacob",Alien Nation
ARI,"Delgado, Randall",
CIN,"DeSclafani, Anthony",Warning Track Power
COL,"Diaz, Jairo",
CIN,"Diaz, Jumbo",
MIA,"Dunn, Mike",
NYM,"Edgin, Josh",
SD,"Edwards, Jon",
PHI,"Eickhoff, Jerad",Alien Nation
SD,"Erlin, Robbie",
NYM,"Familia, Jeurys",Hoi Pollois
PIT,"Feliz, Neftali",
MIA,"Fernandez, Jose",Warning Track Power
CIN,"Finnegan, Brandon",
LAD,"Frias, Carlos",
ATL,"Gant, John",
STL,"Garcia, Jaime",Young Guns
LAD,"Garcia, Yimi",
MIL,"Garza, Matt",
SF,"Gearrin, Cory",
NYM,"Gilmartin, Sean",
NYM,"Goeddel, Erik",
PHI,"Gomez, Jeanmar",
WAS,"Gonzalez, Gio",
WAS,"Gott, Trevor",
COL,"Gray, Jon",
ARI,"Greinke, Zack",
ATL,"Grilli, Jason",Gopher Balls
CHC,"Grimm, Justin",
CHC,"Hammel, Jason",
MIA,"Hand, Brad",
STL,"Harris, Mitch",
PHI,"Harrison, Matt",
NYM,"Harvey, Matt",Hoi Pollois
LAD,"Hatcher, Chris",
PHI,"Hellickson, Jeremy",Master Batters
CHC,"Hendricks, Kyle",
PHI,"Hernandez, David",
SF,"Heston, Chris",
PHI,"Hinojosa, Dalier",
PHI,"Hollands, Mario",
CIN,"Hoover, J.J.",Has Bens
LAD,"Howell, J.P.",
ARI,"Hudson, Daniel",
PIT,"Hughes, Jared",
STL,"Hwan Oh, Seung",
CIN,"Iglesias, Raisel",Has Bens
MIA,"Jackson, Edwin",
LAD,"Jansen, Kenley",
MIL,"Jeffress, Jeremy",
ATL,"Johnson, Jim",
MIL,"Jones, Zack",
MIL,"Jungmann, Taylor",
LAD,"Kazmir, Scott",
WAS,"Kelley, Shawn",
LAD,"Kershaw, Clayton",Gopher Balls
MIL,"Knebel, Corey",
MIA,"Koehler, Tom",
SF,"Kontos, George",
CHC,"Lackey, John",Gopher Balls
CIN,"Lamb, John",
MIA,"Lazo, Raudel",
STL,"Leake, Mike",
CHC,"Lester, Jon",Phil D. Walletup
PIT,"Liriano, Francisco",Alien Nation
PIT,"Lobstein, Kyle",
PIT,"Locke, Jeff",
COL,"Logan, Boone",
SF,"Lopez, Javier",
CIN,"Lorenzen, Michael",
COL,"Lyles, Jordan",
STL,"Lynn, Lance",
STL,"Lyons, Tyler",
LAD,"Maeda, Kenta",
STL,"Maness, Seth",
PHI,"Mariot, Michael",
ARI,"Marshall, Evan",
SD,"Martin, Josh",
STL,"Martinez, Carlos",Young Guns
NYM,"Matz, Steven",Hoi Pollois
COL,"Matzek, Tyler",
SD,"Maurer, Brandon",
LAD,"McCarthy, Brandon",(60 Day DL)
COL,"McGee, Jake",
ATL,"McKirahan, Andrew",
PIT,"Melancon, Mark",
COL,"Miller, Justin",
ARI,"Miller, Shelby",The 700 Level
MIA,"Morris, Bryan",
LAD,"Montas, Frankie",(60 Day DL)
PHI,"Morton, Charlie",
CIN,"Moscot, Jon",
COL,"Motte, Jason",
MIL,"Nelson, Jimmy",
PHI,"Neris, Hector",
PIT,"Nicasio, Juan",
PIT,"Niese, Jonathon",Alien Nation
PHI,"Nola, Aaron",Master Batters
MIL,"Nolin, Sean",
ATL,"Norris, Bud",
COL,"Oberg, Scott",
PHI,"Oberholtzer, Brett",
ATL,"O'Flaherty, Eric",
CIN,"O'Grady, Chris",
CIN,"Ohlendorf, Ross",
SF,"Osich, Josh",
COL,"Ottavino, Adam",(60 Day DL)
WAS,"Papelbon, Jonathan",
SF,"Peavy, Jake",
MIL,"Pena, Ariel",
MIL,"Peralta, Wily",
SD,"Perdomo, Luis",
WAS,"Perez, Oliver",
ATL,"Perez, Williams",
WAS,"Petit, Yusmeiro",
MIA,"Phelps, David",
SD,"Pomeranz, Drew",
SD,"Quackenbush, Kevin",
COL,"Qualls, Chad",
ATL,"Ramirez, Jose",
CHC,"Ramirez, Neil",
MIA,"Ramos, A.J.",Wooden Spooners
LAD,"Ravin, Josh",
ARI,"Ray, Robbie",
SD,"Rea, Colin",
NYM,"Reed, Addison",
CHC,"Richard, Clayton",
WAS,"Rivero, Felipe",
WAS,"Roark, Tanner",
NYM,"Robles, Hansel",
ATL,"Rodriguez, Paco",(60 Day DL)
SD,"Rodney, Fernando",
SF,"Romo, Sergio",
CHC,"Rondon, Hector",The 700 Level
STL,"Rosenthal, Trevor",Young Guns
WAS,"Ross, Joe",The 700 Level
SD,"Ross, Tyson",
CHC,"Rosscup, Zac",(60 Day DL)
COL,"Rusin, Chris",
LAD,"Ryu, Hyun-Jin",
SF,"Samardzija, Jeff",
CIN,"Sampson, Keyvius",
WAS,"Scherzer, Max",Gopher Balls
SD,"Shields, James",
STL,"Siegrist, Kevin",Kilroy Sureshots
ATL,"Simmons, Shae",
CIN,"Simon, Alfredo",
MIL,"Smith, Will",The 700 Level
SD,"Straily, Dan",
WAS,"Strasburg, Stephen",
SF,"Strickland, Hunter",
CHC,"Strop, Pedro",
PHI,"Stumpf, Daniel",
NYM,"Syndergaard, Noah",Has Bens
ATL,"Teheran, Julio",
MIL,"Thornburg, Tyler",
WAS,"Treinen, Blake",
PHI,"Velasquez, Vince",
NYM,"Verrett, Logan",
SD,"Villanueva, Carlos",
ATL,"Vizcaino, Arodys",
PIT,"Vogelsong, Ryan",
STL,"Wacha, Michael",Wooden Spooners
STL,"Wainwright, Adam",
STL,"Walden, Jordan",
CHC,"Warren, Adam",
PIT,"Watson, Tony",
NYM,"Wheeler, Zack",Steroid Stiffs
ATL,"Winkler, Daniel",
ATL,"Wisler, Matt",
LAD,"Wood, Alex",
CIN,"Wood, Blake",
CHC,"Wood, Travis",
ARI,"Ziegler, Brad",Alien Nation
